City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,nova vicosa,-17.8919,-39.3719,25.83,69,49,6.38,BR,1698695883
213,naze,28.3667,129.4833,19.51,77,55,4.61,JP,1698696096
214,praia da vitoria,38.7333,-27.0667,18.75,77,40,5.3,PT,1698696096
215,bafoulabe,13.8065,-10.8321,26.16,71,56,1.96,ML,1698696096
216,aykhal,66.0,111.5,-20.3,98,100,3.27,RU,1698696097
217,uturoa,-16.7333,-151.4333,26.04,80,16,8.19,PF,1698696097
218,aasiaat,68.7098,-52.8699,-3.41,77,5,9.02,GL,1698696097
219,nizhniy kuranakh,58.8353,125.4869,-20.2,98,41,1.62,RU,1698696097
220,stanley,54.868,-1.6985,6.51,94,75,3.09,GB,1698696098
221,ouadda,8.0777,22.4007,22.89,68,25,1.01,CF,1698696098
222,kamina,-8.7386,24.9906,17.76,95,100,1.26,CD,1698696098
223,banikoara,11.2985,2.4386,30.81,21,98,1.62,BJ,1698696099
224,ad dawadimi,24.5077,44.3924,22.64,38,84,3.15,SA,1698696099
225,bulanash,57.2783,61.9965,-6.37,98,93,1.29,RU,1698696099
226,taksimo,56.3444,114.8794,-13.02,66,15,1.07,RU,1698696100
227,ilulissat,69.2167,-51.1,4.01,45,20,9.26,GL,1698696100
228,santa cruz,-17.8,-63.1667,34.03,49,75,12.86,BO,1698696100
229,portland,45.5234,-122.6762,14.78,44,0,4.92,US,1698695620
230,usinsk,65.9939,57.5281,-8.85,81,100,3.13,RU,1698696101
231,russellville,35.2784,-93.1338,12.08,40,0,4.47,US,1698696046
232,uvalde,29.3669,-99.767,7.55,64,100,5.66,US,1698696101
233,argo,37.6333,22.7333,19.87,73,1,0.71,GR,1698696101
234,bardai,11.65,7.2333,26.79,23,100,3.35,NG,1698696102
235,hermanus,-34.4187,19.2345,14.94,74,0,10.2,ZA,1698696102
236,polyarnyy,69.1989,33.4478,-5.37,89,100,7.57,RU,1698696102
237,bereeda,11.8704,51.0579,26.26,79,46,3.11,SO,1698696102
238,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,6.69,EC,1698696103
239,codrington,-38.2667,141.9667,9.66,61,57,6.89,AU,1698696103
240,manokwari,-0.8667,134.0833,25.28,83,100,0.97,ID,1698696103
241,chongwe,-15.3292,28.682,21.57,67,88,4.83,ZM,1698696104
242,lagoa,39.05,-27.9833,18.35,70,11,8.98,PT,1698696104
243,kirakira,-10.4544,161.9205,26.98,85,100,3.94,SB,1698696104
244,caleta de carquin,-11.0925,-77.6267,21.76,77,97,5.1,PE,1698696104
245,mandalgovi,45.7625,106.2708,-1.69,64,36,1.62,MN,1698696105
246,kyzyl-suu,42.3414,78.0056,9.97,46,100,3.54,KG,1698696105
247,karratha,-20.7377,116.8463,26.61,41,90,3.86,AU,1698696105
248,menongue,-14.6585,17.691,21.56,68,91,2.64,AO,1698696106
249,quellon,-43.1167,-73.6167,7.28,84,100,3.15,CL,1698696106
250,bougouni,11.417,-7.479,29.14,34,65,1.71,ML,1698696106
251,gorom-gorom,14.4439,-0.2361,32.79,10,0,4.02,BF,1698696106
252,mairi,-11.7114,-40.1489,32.52,20,99,2.91,BR,1698696107
253,hirara,24.8,125.2833,24.15,69,100,4.63,JP,1698696107
254,dawei,14.0833,98.2,24.63,90,91,2.45,MM,1698696107
255,hovd,48.0056,91.6419,4.88,56,100,2.88,MN,1698696107
256,alofi,-19.0595,-169.9187,25.94,69,100,6.17,NU,1698696108
257,bengkulu,-3.8004,102.2655,22.87,95,63,1.86,ID,1698696108
258,grand-bassam,5.2118,-3.7388,27.98,85,0,3.08,CI,1698696108
259,baardheere,2.3446,42.2764,26.1,78,30,0.96,SO,1698696108
260,mitsamiouli,-11.3847,43.2844,26.69,78,16,2.15,KM,1698696109
261,bodo,67.28,14.405,-2.9,80,0,5.66,NO,1698696109
262,papao,-17.75,-149.55,28.82,83,18,9.09,PF,1698696109
263,magadan,59.5667,150.8,-4.67,76,12,2.98,RU,1698696109
264,brisas de zicatela,15.8369,-97.0419,29.16,71,89,2.59,MX,1698696110
265,hithadhoo,-0.6,73.0833,26.73,82,9,5.09,MV,1698696110
266,amuntai,-2.4177,115.2494,24.43,89,60,0.98,ID,1698696110
267,paredon,16.0333,-93.8667,32.16,53,59,5.97,MX,1698696110
268,thunder bay,48.4001,-89.3168,0.99,40,100,5.14,CA,1698696111
269,fale old settlement,-9.3852,-171.2468,28.8,74,16,6.94,TK,1698696111
270,trondheim,63.4305,10.3951,-2.95,68,8,2.58,NO,1698696111
271,glenfield park,-35.1372,147.334,9.08,70,0,4.5,AU,1698696111
272,veraval,20.9,70.3667,26.89,55,3,0.32,IN,1698696112
273,tabou,4.423,-7.3528,26.34,84,6,2.99,CI,1698696112
274,tateyama,34.9833,139.8667,15.61,70,0,3.17,JP,1698696112
275,malango,-2.9627,119.9001,18.06,90,62,1.17,ID,1698696112
276,nogliki,51.8333,143.1667,2.41,71,90,1.34,RU,1698696113
277,ust-nera,64.5667,143.2,-18.23,100,85,1.98,RU,1698696113
278,illizi,26.4833,8.4667,28.89,16,3,3.23,DZ,1698696113
279,puerto quijarro,-17.7833,-57.7667,38.88,26,95,2.35,BO,1698696113
280,coquimbo,-29.9533,-71.3436,19.85,59,0,6.69,CL,1698696114
281,hadibu,12.65,54.0333,26.57,76,99,3.76,YE,1698696114
282,xiangcheng chengguanzhen,33.847,113.4778,18.1,57,2,4.04,CN,1698696114
283,son tay,21.1378,105.505,22.96,78,100,0.89,VN,1698696114
284,swift current,50.2834,-107.8014,-6.55,73,0,8.23,CA,1698696059
285,meadow lakes,61.6247,-149.6011,6.46,72,0,0.89,US,1698696115
286,isiro,2.7739,27.616,21.11,93,96,1.82,CD,1698696115
287,champerico,14.3,-91.9167,33.3,74,100,5.96,GT,1698696115
288,pacific grove,36.6177,-121.9166,24.94,27,100,0.89,US,1698696115
289,petropavlovsk-kamchatsky,53.0452,158.6483,-0.3,82,75,5.0,RU,1698696116
290,fisterra,42.9049,-9.2629,16.12,73,9,8.15,ES,1698696116
291,queenstown,-31.8976,26.8753,7.54,80,77,4.4,ZA,1698696116
292,ayaviri,-14.8864,-70.5889,19.57,17,72,6.51,PE,1698696116
293,flin flon,54.7682,-101.865,-7.09,63,75,7.72,CA,1698696116
294,dunedin,-45.8742,170.5036,11.49,85,100,3.34,NZ,1698696101
295,konarka,19.9,86.1167,22.22,74,50,2.2,IN,1698696117
296,new plymouth,-39.0667,174.0833,14.06,73,100,2.9,NZ,1698696117
297,isangel,-19.55,169.2667,22.14,64,16,4.3,VU,1698696117
298,durban,-29.8579,31.0292,14.51,81,100,2.09,ZA,1698696050
299,lae,-6.7221,146.9847,23.45,89,100,2.13,PG,1698696118
300,julich,50.9333,6.3667,13.69,95,100,0.89,DE,1698696118
301,beira,-19.8436,34.8389,21.72,100,100,9.39,MZ,1698696118
302,axim,4.8699,-2.2405,26.76,84,10,2.71,GH,1698696118
303,choyr,46.3611,108.3611,-4.47,82,9,2.24,MN,1698696119
304,tekirdag,40.978,27.5085,16.64,81,0,2.49,TR,1698696119
305,kirensk,57.7853,108.1119,-7.24,62,98,1.34,RU,1698696119
306,abou el hassan,36.4166,1.1962,20.69,68,85,5.54,DZ,1698696119
307,hilo,19.7297,-155.09,27.28,84,100,2.57,US,1698696035
308,liwale,-9.7667,37.9333,22.75,71,100,1.8,TZ,1698696120
